STATISTIČNA REGIJA;STAROSTNI RAZRED;MESEC;DATA
SLOVENIJA;30-34;2012M02;125565
SLOVENIJA;30-34;2012M03;125861
SLOVENIJA;30-34;2012M04;125986
SLOVENIJA;30-34;2012M05;125687
SLOVENIJA;30-34;2012M06;125229
SLOVENIJA;30-34;2012M07;124634
SLOVENIJA;30-34;2012M08;124207
SLOVENIJA;30-34;2012M09;123991
SLOVENIJA;30-34;2012M10;123416
SLOVENIJA;30-34;2012M11;122936
SLOVENIJA;30-34;2012M12;121510
SLOVENIJA;30-34;2013M01;120288
SLOVENIJA;30-34;2013M02;119953
SLOVENIJA;30-34;2013M03;119795
SLOVENIJA;30-34;2013M04;119720
SLOVENIJA;30-34;2013M05;119785
SLOVENIJA;30-34;2013M06;119578
SLOVENIJA;30-34;2013M07;118944
SLOVENIJA;30-34;2013M08;118446
SLOVENIJA;30-34;2013M09;118328
SLOVENIJA;30-34;2013M10;118340
SLOVENIJA;30-34;2013M11;118215
SLOVENIJA;30-34;2013M12;117103
SLOVENIJA;30-34;2014M01;115852
SLOVENIJA;30-34;2014M02;115857
SLOVENIJA;30-34;2014M03;116245
SLOVENIJA;30-34;2014M04;116751
SLOVENIJA;30-34;2014M05;116681
SLOVENIJA;30-34;2014M06;116509
SLOVENIJA;30-34;2014M07;115976
SLOVENIJA;30-34;2014M08;115587
SLOVENIJA;30-34;2014M09;115859
SLOVENIJA;30-34;2014M10;115520
SLOVENIJA;30-34;2014M11;115322
SLOVENIJA;30-34;2014M12;114148
SLOVENIJA;30-34;2015M01;112968
SLOVENIJA;30-34;2015M02;113201
SLOVENIJA;30-34;2015M03;113653
SLOVENIJA;30-34;2015M04;113563
SLOVENIJA;30-34;2015M05;113544
SLOVENIJA;30-34;2015M06;113372
SLOVENIJA;30-34;2015M07;112800
SLOVENIJA;30-34;2015M08;112513
SLOVENIJA;30-34;2015M09;112935
SLOVENIJA;30-34;2015M10;112440
SLOVENIJA;30-34;2015M11;112251
SLOVENIJA;30-34;2015M12;110991
SLOVENIJA;30-34;2016M01;109835
SLOVENIJA;30-34;2016M02;110032
SLOVENIJA;30-34;2016M03;110593
SLOVENIJA;30-34;2016M04;110680
SLOVENIJA;30-34;2016M05;110846
SLOVENIJA;30-34;2016M06;110813
SLOVENIJA;30-34;2016M07;110212
SLOVENIJA;30-34;2016M08;109976
SLOVENIJA;30-34;2016M09;110599
SLOVENIJA;30-34;2016M10;110735
